	id	Evaluator	Seen	Score
75	76	Veiko	0	0.0
76	77	Veiko	1	6.0
77	78	Veiko	1	6.0
78	79	Veiko	0	0.0
79	80	Veiko	0	0.0
80	81	Veiko	0	0.0
81	82	Veiko	0	0.0
82	83	Veiko	0	0.0
83	84	Veiko	0	0.0
84	85	Veiko	0	0.0
85	86	Veiko	0	0.0
86	87	Veiko	0	0.0
87	88	Veiko	0	0.0
88	89	Veiko	0	0.0
89	90	Veiko	0	0.0
90	91	Veiko	1	9.0
91	92	Veiko	0	0.0
92	93	Veiko	1	8.0
93	94	Veiko	0	0.0
94	95	Veiko	0	0.0
95	96	Veiko	0	0.0
96	97	Veiko	0	0.0
97	98	Veiko	0	0.0
98	99	Veiko	0	0.0
99	100	Veiko	0	0.0
0	1	Yomi	0	0.0
1	2	Yomi	1	7.5
2	3	Yomi	1	7.5
3	4	Yomi	1	8.0
4	5	Yomi	1	8.5
5	6	Yomi	1	8.0
6	7	Yomi	0	0.0
7	8	Yomi	0	0.0
8	9	Yomi	0	0.0
9	10	Yomi	1	9.0
10	11	Yomi	1	8.0
11	12	Yomi	1	7.5
12	13	Yomi	0	0.0
13	14	Yomi	0	0.0
14	15	Yomi	0	0.0
15	16	Yomi	0	0.0
16	17	Yomi	1	8.0
17	18	Yomi	1	7.0
18	19	Yomi	0	0.0
19	20	Yomi	0	0.0
20	21	Yomi	1	8.5
21	22	Yomi	1	8.5
22	23	Yomi	0	0.0
23	24	Yomi	0	0.0
24	25	Yomi	1	8.0
25	26	Yomi	0	0.0
26	27	Yomi	1	8.5
27	28	Yomi	0	0.0
28	29	Yomi	0	0.0
29	30	Yomi	0	0.0
30	31	Yomi	1	9.0
31	32	Yomi	1	8.5
32	33	Yomi	0	0.0
33	34	Yomi	0	0.0
34	35	Yomi	0	0.0
35	36	Yomi	0	0.0
36	37	Yomi	0	0.0
37	38	Yomi	1	7.5
38	39	Yomi	1	7.5
39	40	Yomi	1	6.0
40	41	Yomi	0	0.0
41	42	Yomi	0	0.0
42	43	Yomi	1	8.5
43	44	Yomi	1	9.0
44	45	Yomi	1	8.5
45	46	Yomi	1	7.5
46	47	Yomi	0	0.0
47	48	Yomi	0	0.0
48	49	Yomi	0	0.0
49	50	Yomi	0	0.0
50	51	Yomi	0	0.0
51	52	Yomi	0	0.0
52	53	Yomi	1	8.5
53	54	Yomi	1	8.0
54	55	Yomi	1	8.5
55	56	Yomi	0	0.0
56	57	Yomi	0	0.0
57	58	Yomi	1	9.5
58	59	Yomi	0	0.0
59	60	Yomi	0	0.0
60	61	Yomi	1	8.0
61	62	Yomi	0	0.0
62	63	Yomi	0	0.0
63	64	Yomi	0	0.0
64	65	Yomi	1	10.0
65	66	Yomi	1	10.0
66	67	Yomi	0	0.0
67	68	Yomi	1	8.0
68	69	Yomi	0	0.0
69	70	Yomi	0	0.0
70	71	Yomi	1	7.5
71	72	Yomi	0	0.0
72	73	Yomi	0	0.0
73	74	Yomi	0	0.0
74	75	Yomi	0	0.0
75	76	Yomi	1	8.5
76	77	Yomi	1	10.0
77	78	Yomi	1	7.5
78	79	Yomi	1	8.0
79	80	Yomi	0	0.0
80	81	Yomi	1	9.0
81	82	Yomi	0	0.0
82	83	Yomi	0	0.0
83	84	Yomi	0	0.0
84	85	Yomi	1	8.5
85	86	Yomi	1	9.0
86	87	Yomi	0	0.0
87	88	Yomi	0	0.0
88	89	Yomi	0	0.0
89	90	Yomi	1	8.0
90	91	Yomi	1	9.0
91	92	Yomi	0	0.0
92	93	Yomi	1	10.0
93	94	Yomi	0	0.0
94	95	Yomi	0	0.0
95	96	Yomi	0	0.0
96	97	Yomi	0	0.0
97	98	Yomi	0	0.0
98	99	Yomi	0	0.0
99	100	Yomi	1	8.5
0	1	Leo	1	9.5
1	2	Leo	1	8.0
2	3	Leo	1	8.0
3	4	Leo	0	0.0
4	5	Leo	0	0.0
5	6	Leo	0	0.0
6	7	Leo	0	0.0
7	8	Leo	0	0.0
8	9	Leo	1	9.0
9	10	Leo	1	9.5
10	11	Leo	0	0.0
11	12	Leo	1	8.5
12	13	Leo	0	0.0
13	14	Leo	0	0.0
14	15	Leo	1	8.5
15	16	Leo	1	9.0
16	17	Leo	0	0.0
17	18	Leo	1	8.0
18	19	Leo	1	7.5
19	20	Leo	0	0.0
20	21	Leo	0	0.0
21	22	Leo	0	0.0
22	23	Leo	0	0.0
23	24	Leo	0	0.0
24	25	Leo	0	0.0
25	26	Leo	0	0.0
26	27	Leo	1	7.0
27	28	Leo	1	9.0
28	29	Leo	0	0.0
29	30	Leo	0	0.0
30	31	Leo	1	9.0
31	32	Leo	1	9.5
32	33	Leo	0	0.0
33	34	Leo	0	0.0
34	35	Leo	1	6.0
35	36	Leo	0	0.0
36	37	Leo	0	0.0
37	38	Leo	1	9.5
38	39	Leo	1	9.0
39	40	Leo	1	8.5
40	41	Leo	0	0.0
41	42	Leo	0	0.0
42	43	Leo	0	0.0
43	44	Leo	0	0.0
44	45	Leo	0	0.0
45	46	Leo	1	8.0
46	47	Leo	1	8.5
47	48	Leo	1	9.0
48	49	Leo	1	8.0
49	50	Leo	1	6.0
50	51	Leo	1	6.0
51	52	Leo	0	0.0
52	53	Leo	1	8.0
53	54	Leo	1	10.0
54	55	Leo	0	0.0
55	56	Leo	0	0.0
56	57	Leo	1	10.0
57	58	Leo	1	7.0
58	59	Leo	1	9.0
59	60	Leo	0	0.0
60	61	Leo	0	0.0
61	62	Leo	0	0.0
62	63	Leo	0	0.0
63	64	Leo	0	0.0
64	65	Leo	1	8.5
65	66	Leo	1	9.0
66	67	Leo	0	0.0
67	68	Leo	1	7.0
68	69	Leo	0	0.0
69	70	Leo	0	0.0
70	71	Leo	0	0.0
71	72	Leo	0	0.0
72	73	Leo	1	9.0
73	74	Leo	1	9.5
74	75	Leo	1	9.5
75	76	Leo	1	9.0
76	77	Leo	0	0.0
77	78	Leo	1	8.5
78	79	Leo	0	0.0
79	80	Leo	0	0.0
80	81	Leo	1	9.5
81	82	Leo	0	0.0
82	83	Leo	0	0.0
83	84	Leo	0	0.0
84	85	Leo	0	0.0
85	86	Leo	0	0.0
86	87	Leo	0	0.0
87	88	Leo	0	0.0
88	89	Leo	0	0.0
89	90	Leo	1	8.0
90	91	Leo	1	7.0
91	92	Leo	1	9.5
92	93	Leo	1	9.0
93	94	Leo	0	0.0
94	95	Leo	0	0.0
95	96	Leo	0	0.0
96	97	Leo	0	0.0
97	98	Leo	0	0.0
98	99	Leo	0	0.0
99	100	Leo	1	9.0
0	1	Summer	0	0.0
1	2	Summer	0	7.5
2	3	Summer	0	7.5
3	4	Summer	1	9.4
4	5	Summer	1	6.4
5	6	Summer	1	9.0
6	7	Summer	0	0.0
7	8	Summer	0	0.0
8	9	Summer	1	9.2
9	10	Summer	1	7.8
10	11	Summer	1	8.4
11	12	Summer	1	8.8
12	13	Summer	0	0.0
13	14	Summer	0	0.0
14	15	Summer	0	0.0
15	16	Summer	1	8.0
16	17	Summer	1	8.3
17	18	Summer	1	7.0
18	19	Summer	0	0.0
19	20	Summer	0	0.0
20	21	Summer	1	5.5
21	22	Summer	1	9.1
22	23	Summer	0	0.0
23	24	Summer	0	0.0
24	25	Summer	0	0.0
25	26	Summer	0	0.0
26	27	Summer	0	0.0
27	28	Summer	0	0.0
28	29	Summer	0	0.0
29	30	Summer	1	8.2
30	31	Summer	0	0.0
31	32	Summer	1	7.4
32	33	Summer	0	0.0
33	34	Summer	0	0.0
34	35	Summer	1	9.8
35	36	Summer	0	0.0
36	37	Summer	0	0.0
37	38	Summer	1	8.0
38	39	Summer	0	0.0
39	40	Summer	1	8.8
40	41	Summer	0	0.0
41	42	Summer	0	0.0
42	43	Summer	0	0.0
43	44	Summer	0	0.0
44	45	Summer	0	0.0
45	46	Summer	0	0.0
46	47	Summer	0	0.0
47	48	Summer	1	9.0
48	49	Summer	0	0.0
49	50	Summer	0	0.0
50	51	Summer	0	0.0
51	52	Summer	0	0.0
52	53	Summer	0	0.0
53	54	Summer	1	8.0
54	55	Summer	0	0.0
55	56	Summer	0	0.0
56	57	Summer	1	8.9
57	58	Summer	1	4.3
58	59	Summer	1	8.8
59	60	Summer	0	0.0
60	61	Summer	1	8.0
61	62	Summer	0	0.0
62	63	Summer	0	0.0
63	64	Summer	0	0.0
64	65	Summer	0	0.0
65	66	Summer	0	0.0
66	67	Summer	0	0.0
67	68	Summer	0	0.0
68	69	Summer	0	0.0
69	70	Summer	0	0.0
70	71	Summer	1	9.2
71	72	Summer	0	0.0
72	73	Summer	0	0.0
73	74	Summer	0	0.0
74	75	Summer	0	0.0
75	76	Summer	1	8.5
76	77	Summer	1	9.1
77	78	Summer	0	0.0
78	79	Summer	1	6.8
79	80	Summer	0	0.0
80	81	Summer	1	9.0
81	82	Summer	0	0.0
82	83	Summer	0	0.0
83	84	Summer	0	0.0
84	85	Summer	1	9.7
85	86	Summer	1	7.4
86	87	Summer	0	0.0
87	88	Summer	0	0.0
88	89	Summer	0	0.0
89	90	Summer	0	0.0
90	91	Summer	1	9.0
91	92	Summer	0	0.0
92	93	Summer	0	0.0
93	94	Summer	0	0.0
94	95	Summer	0	0.0
95	96	Summer	0	0.0
96	97	Summer	0	0.0
97	98	Summer	0	0.0
98	99	Summer	0	0.0
99	100	Summer	1	8.5
0	1	Chiara	1	8.5
1	2	Chiara	1	9.0
2	3	Chiara	1	8.0
3	4	Chiara	1	7.5
4	5	Chiara	1	6.5
5	6	Chiara	1	9.0
6	7	Chiara	0	0.0
7	8	Chiara	0	0.0
8	9	Chiara	1	8.5
9	10	Chiara	1	9.0
10	11	Chiara	1	8.5
11	12	Chiara	1	7.5
12	13	Chiara	1	7.0
13	14	Chiara	1	6.5
14	15	Chiara	1	8.0
15	16	Chiara	1	7.5
16	17	Chiara	1	8.0
17	18	Chiara	1	7.0
18	19	Chiara	1	7.0
19	20	Chiara	0	0.0
20	21	Chiara	0	0.0
21	22	Chiara	1	8.5
22	23	Chiara	0	0.0
23	24	Chiara	0	0.0
24	25	Chiara	1	7.5
25	26	Chiara	1	7.0
26	27	Chiara	1	8.5
27	28	Chiara	1	6.0
28	29	Chiara	0	0.0
29	30	Chiara	0	0.0
30	31	Chiara	1	8.0
31	32	Chiara	1	7.0
32	33	Chiara	0	0.0
33	34	Chiara	1	8.0
34	35	Chiara	1	8.0
35	36	Chiara	0	0.0
36	37	Chiara	1	7.5
37	38	Chiara	1	8.5
38	39	Chiara	1	8.5
39	40	Chiara	1	8.0
40	41	Chiara	1	7.0
41	42	Chiara	1	7.0
42	43	Chiara	1	7.5
43	44	Chiara	1	7.0
44	45	Chiara	1	7.0
45	46	Chiara	1	6.5
46	47	Chiara	1	8.0
47	48	Chiara	1	7.5
48	49	Chiara	0	0.0
49	50	Chiara	1	8.0
50	51	Chiara	0	0.0
51	52	Chiara	0	0.0
52	53	Chiara	0	0.0
53	54	Chiara	1	8.5
54	55	Chiara	0	0.0
55	56	Chiara	0	0.0
56	57	Chiara	1	8.0
57	58	Chiara	1	7.5
58	59	Chiara	1	9.0
59	60	Chiara	0	0.0
60	61	Chiara	1	7.0
61	62	Chiara	1	8.0
62	63	Chiara	0	0.0
63	64	Chiara	0	0.0
64	65	Chiara	1	7.0
65	66	Chiara	1	7.0
66	67	Chiara	0	0.0
67	68	Chiara	0	0.0
68	69	Chiara	0	0.0
69	70	Chiara	0	0.0
70	71	Chiara	1	7.0
71	72	Chiara	0	0.0
72	73	Chiara	1	8.0
73	74	Chiara	1	9.0
74	75	Chiara	0	0.0
75	76	Chiara	1	7.5
76	77	Chiara	1	9.0
77	78	Chiara	1	7.0
78	79	Chiara	1	6.0
79	80	Chiara	0	0.0
80	81	Chiara	1	9.0
81	82	Chiara	1	7.5
82	83	Chiara	0	0.0
83	84	Chiara	0	0.0
84	85	Chiara	0	0.0
85	86	Chiara	1	9.0
86	87	Chiara	0	0.0
87	88	Chiara	0	0.0
88	89	Chiara	0	0.0
89	90	Chiara	0	0.0
90	91	Chiara	1	9.0
91	92	Chiara	0	0.0
92	93	Chiara	1	7.0
93	94	Chiara	0	0.0
94	95	Chiara	0	0.0
95	96	Chiara	0	0.0
96	97	Chiara	0	0.0
97	98	Chiara	0	0.0
98	99	Chiara	0	0.0
99	100	Chiara	1	8.0
0	1	Vincent	0	0.0
1	2	Vincent	0	0.0
2	3	Vincent	0	0.0
3	4	Vincent	1	9.0
4	5	Vincent	0	0.0
5	6	Vincent	1	9.0
6	7	Vincent	0	0.0
7	8	Vincent	0	0.0
8	9	Vincent	0	0.0
9	10	Vincent	1	9.5
10	11	Vincent	1	9.0
11	12	Vincent	0	0.0
12	13	Vincent	0	0.0
13	14	Vincent	0	0.0
14	15	Vincent	1	8.0
15	16	Vincent	1	8.0
16	17	Vincent	1	9.0
17	18	Vincent	0	0.0
18	19	Vincent	1	8.5
19	20	Vincent	0	0.0
20	21	Vincent	0	0.0
21	22	Vincent	0	0.0
22	23	Vincent	0	0.0
23	24	Vincent	0	0.0
24	25	Vincent	0	0.0
25	26	Vincent	1	9.0
26	27	Vincent	0	0.0
27	28	Vincent	0	0.0
28	29	Vincent	0	0.0
29	30	Vincent	0	0.0
30	31	Vincent	1	8.5
31	32	Vincent	0	0.0
32	33	Vincent	0	0.0
33	34	Vincent	1	9.0
34	35	Vincent	0	0.0
35	36	Vincent	1	9.0
36	37	Vincent	0	0.0
37	38	Vincent	1	8.0
38	39	Vincent	1	8.0
39	40	Vincent	0	0.0
40	41	Vincent	0	0.0
41	42	Vincent	0	0.0
42	43	Vincent	0	0.0
43	44	Vincent	0	0.0
44	45	Vincent	0	0.0
45	46	Vincent	0	0.0
46	47	Vincent	0	0.0
47	48	Vincent	0	0.0
48	49	Vincent	0	0.0
49	50	Vincent	0	0.0
50	51	Vincent	0	0.0
51	52	Vincent	0	0.0
52	53	Vincent	0	0.0
53	54	Vincent	1	8.5
54	55	Vincent	0	0.0
55	56	Vincent	0	0.0
56	57	Vincent	1	9.0
57	58	Vincent	1	8.5
58	59	Vincent	1	8.0
59	60	Vincent	0	0.0
60	61	Vincent	0	0.0
61	62	Vincent	1	9.0
62	63	Vincent	0	0.0
63	64	Vincent	0	0.0
64	65	Vincent	0	0.0
65	66	Vincent	0	0.0
66	67	Vincent	0	0.0
67	68	Vincent	0	0.0
68	69	Vincent	0	0.0
69	70	Vincent	0	0.0
70	71	Vincent	0	0.0
71	72	Vincent	0	0.0
72	73	Vincent	0	0.0
73	74	Vincent	1	9.0
74	75	Vincent	0	0.0
75	76	Vincent	1	9.0
76	77	Vincent	0	0.0
77	78	Vincent	0	0.0
78	79	Vincent	0	0.0
79	80	Vincent	0	0.0
80	81	Vincent	1	9.0
81	82	Vincent	0	0.0
82	83	Vincent	0	0.0
83	84	Vincent	0	0.0
84	85	Vincent	0	0.0
85	86	Vincent	0	0.0
86	87	Vincent	0	0.0
87	88	Vincent	0	0.0
88	89	Vincent	0	0.0
89	90	Vincent	0	0.0
90	91	Vincent	1	9.0
91	92	Vincent	0	0.0
92	93	Vincent	0	0.0
93	94	Vincent	0	0.0
94	95	Vincent	0	0.0
95	96	Vincent	0	0.0
96	97	Vincent	0	0.0
97	98	Vincent	0	0.0
98	99	Vincent	0	0.0
99	100	Vincent	1	9.0
0	1	Ben	1	8.5
1	2	Ben	1	8.0
2	3	Ben	1	7.5
3	4	Ben	1	9.0
4	5	Ben	0	0.0
5	6	Ben	1	7.0
6	7	Ben	0	0.0
7	8	Ben	1	8.5
8	9	Ben	1	8.0
9	10	Ben	1	8.5
10	11	Ben	1	7.0
11	12	Ben	1	7.0
12	13	Ben	0	0.0
13	14	Ben	0	0.0
14	15	Ben	1	9.0
15	16	Ben	1	8.0
16	17	Ben	1	7.0
17	18	Ben	1	6.5
18	19	Ben	1	8.5
19	20	Ben	0	0.0
20	21	Ben	0	0.0
21	22	Ben	0	0.0
22	23	Ben	0	0.0
23	24	Ben	1	8.0
24	25	Ben	0	0.0
25	26	Ben	1	8.5
26	27	Ben	0	0.0
27	28	Ben	0	0.0
28	29	Ben	0	0.0
29	30	Ben	0	0.0
30	31	Ben	1	8.5
31	32	Ben	1	7.0
32	33	Ben	0	0.0
33	34	Ben	1	5.0
34	35	Ben	0	0.0
35	36	Ben	0	0.0
36	37	Ben	0	0.0
37	38	Ben	1	7.5
38	39	Ben	1	7.5
39	40	Ben	0	0.0
40	41	Ben	1	7.5
41	42	Ben	0	0.0
42	43	Ben	0	0.0
43	44	Ben	1	4.0
44	45	Ben	0	0.0
45	46	Ben	0	0.0
46	47	Ben	1	5.5
47	48	Ben	1	7.5
48	49	Ben	0	0.0
49	50	Ben	1	7.5
50	51	Ben	0	0.0
51	52	Ben	1	8.0
52	53	Ben	0	0.0
53	54	Ben	1	8.0
54	55	Ben	0	0.0
55	56	Ben	0	0.0
56	57	Ben	1	7.0
57	58	Ben	0	0.0
58	59	Ben	1	7.5
59	60	Ben	0	0.0
60	61	Ben	1	8.0
61	62	Ben	1	8.0
62	63	Ben	0	0.0
63	64	Ben	0	0.0
64	65	Ben	0	0.0
65	66	Ben	0	0.0
66	67	Ben	0	0.0
67	68	Ben	0	0.0
68	69	Ben	0	0.0
